1433E_MOUSE
41_MOUSE Protein 4.1
41_MOUSE Protein 4.1
AAPK1_MOUSE
AAPK2_MOUSE
AAPK2_MOUSE
AAPK2_MOUSE
AAPK2_MOUSE
ABCC9_MOUSE
ABCC9_MOUSE
ABL2_MOUSE
ABL2_MOUSE
ABLM1_MOUSE
ABLM1_MOUSE
ABLM2_MOUSE
ABLM2_MOUSE
ABLM2_MOUSE
ABLM2_MOUSE
ABLM2_MOUSE
ABLM3_MOUSE
ABLM3_MOUSE
ABLM3_MOUSE
ABLM3_MOUSE
ABLM3_MOUSE
ABRA_MOUSE
ACACA_MOUSE
ACACA_MOUSE
ACADV_MOUSE
ACBD5_MOUSE
ACHE_MOUSE
ACK1_MOUSE
ACO11_MOUSE
ACOT1_MOUSE
ACTB_MOUSE
ACTB_MOUSE
ACTB_MOUSE
ACTB_MOUSE
ACTN2_MOUSE
ACTN2_MOUSE
ACTN2_MOUSE
ACTN2_MOUSE
ACTN3_MOUSE
ACTN3_MOUSE
ACTS_MOUSE
ACTS_MOUSE
ACTS_MOUSE
ADA17_MOUSE
ADA17_MOUSE
ADDG_MOUSE
ADT1_MOUSE
AGFG1_MOUSE
AGRF5_MOUSE
AGRF5_MOUSE
AIFM1_MOUSE
AIFM1_MOUSE
AKAP1_MOUSE
AKAP1_MOUSE
AKAP1_MOUSE
AKP13_MOUSE
ALDOA_MOUSE
ALDOA_MOUSE
ALKB5_MOUSE
ALPK2_MOUSE
ALPK3_MOUSE
ALPK3_MOUSE
AMOT_MOUSE
AMOT_MOUSE
AMPD1_MOUSE
AMPD3_MOUSE
AMRP_MOUSE
ANK2_MOUSE
ANK2_MOUSE
ANK2_MOUSE
AOXA_MOUSE
AP3D1_MOUSE
APC_MOUSE
APOE_MOUSE
AQP4_MOUSE
ARFG2_MOUSE
ARFG2_MOUSE
ARHG2_MOUSE
ARHG2_MOUSE
ARHG6_MOUSE
ARHGH_MOUSE
ARHGH_MOUSE
ARHGH_MOUSE
ARI1A_MOUSE
ARI1B_MOUSE
ARP21_MOUSE
AT131_MOUSE
AT2B1_MOUSE
AT2B1_MOUSE
AT2B1_MOUSE
ATF7_MOUSE
ATRX_MOUSE
ATX2_MOUSE
AVEN_MOUSE
B2L13_MOUSE
B2L13_MOUSE
B3AT_MOUSE
BAG3_MOUSE
BAG6_MOUSE
BASI_MOUSE
BASI_MOUSE
BASI_MOUSE
BASP1_MOUSE
BASP1_MOUSE
BCLF1_MOUSE
BCLF1_MOUSE
BEST3_MOUSE
BICC1_MOUSE
BICD2_MOUSE
BIN1_MOUSE
BIN1_MOUSE
BIN1_MOUSE
BIN1_MOUSE
BNIP3_MOUSE
BORG5_MOUSE
BRAF_MOUSE
CA052_MOUSE
CA174_MOUSE
CAC1C_MOUSE
CADM4_MOUSE
CAH3_MOUSE
CALX_MOUSE
CALX_MOUSE
CAMP2_MOUSE
CAN3_MOUSE
CASZ1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN1_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN2_MOUSE
CAVN4_MOUSE
CAVN4_MOUSE
CAVN4_MOUSE
CAVN4_MOUSE
CBX5_MOUSE
CCD86_MOUSE
CCD9B_MOUSE
CCD9B_MOUSE
CCPG1_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD054_MOUSE
CD44_MOUSE
CDK12_MOUSE
CDK13_MOUSE
CDK16_MOUSE
CDK18_MOUSE
CDN1B_MOUSE
CEFIP_MOUSE
CGNL1_MOUSE
CHAP1_MOUSE
CHIP_MOUSE
CHIP_MOUSE
CHIP_MOUSE
CIP4_MOUSE
CK096_MOUSE
CLAP1_MOUSE
CLIP4_MOUSE
CLIP4_MOUSE
CLK3_MOUSE
CLSPN_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
CMYA5_MOUSE
COBL_MOUSE
COBL_MOUSE
COBL_MOUSE
COBL_MOUSE
COBL_MOUSE
COBL_MOUSE
COBL1_MOUSE
COBL1_MOUSE
COPE_MOUSE
COR1A_MOUSE
CORO6_MOUSE
CORO6_MOUSE
CPSF7_MOUSE
CPZIP_MOUSE
CR025_MOUSE
CRYAB_MOUSE
CRYAB_MOUSE
